CH1,CH1,CH1,,,,CL,CC,
RawData,BaseLine,Diff,,,,8,10,10240
3715,3670,45,,,,,,
3716,3670,46,,,,,,
3716,3670,46,,,,,,
3716,3670,46,,,,,,
3716,3670,46,,,,,,
3717,3670,47,,,,,,
3719,3670,49,,,,,,
3720,3670,50,,,,,,
3720,3670,50,,,,,,
3720,3670,50,,,,,,
3720,3670,50,,,,,,
3720,3670,50,,,,,,
3720,3670,50,,,,,,
3720,3670,50,,,,,,
3720,3670,50,,,,,,
3719,3670,49,,,,,,
3718,3670,48,,,,,,
3718,3670,48,,,,,,
3718,3670,48,,,,,,
3717,3670,47,,,,,,
3716,3670,46,,,,,,
3715,3670,45,,,,,,
3714,3670,44,,,,,,
3713,3670,43,,,,,,
3711,3670,41,,,,,,
3710,3670,40,,,,,,
3709,3670,39,,,,,,
3708,3670,38,,,,,,
3706,3670,36,,,,,,
3705,3670,35,,,,,,
3704,3670,34,,,,,,
3703,3670,33,,,,,,
3703,3670,33,,,,,,
3703,3670,33,,,,,,
3703,3670,33,,,,,,
3702,3670,32,,,,,,
3701,3670,31,,,,,,
3699,3670,29,,,,,,
3697,3670,27,,,,,,
3695,3670,25,,,,,,
3694,3670,24,,,,,,
3694,3670,24,,,,,,
3694,3670,24,,,,,,
3694,3670,24,,,,,,
3694,3670,24,,,,,,
3694,3670,24,,,,,,
3696,3670,26,,,,,,
3698,3670,28,,,,,,
3699,3670,29,,,,,,
3704,3670,34,,,,,,
3740,3670,70,,,,,,
3741,3670,71,,,,,,
3742,3670,72,,,,,,
3745,3670,75,,,,,,
3746,3670,76,,,,,,
3747,3670,77,,,,,,
3751,3670,81,,,,,,
3754,3670,84,,,,,,
3783,3670,113,,,,,,
3784,3670,114,,,,,,
3786,3670,116,,,,,,
3788,3670,118,,,,,,
3790,3670,120,,,,,,
3793,3670,123,,,,,,
3795,3670,125,,,,,,
3796,3670,126,,,,,,
3797,3670,127,,,,,,
3801,3670,131,,,,,,
3802,3670,132,,,,,,
3804,3670,134,,,,,,
3805,3670,135,,,,,,
3807,3670,137,,,,,,
3808,3670,138,,,,,,
3807,3670,137,,,,,,
3808,3670,138,,,,,,
3807,3670,137,,,,,,
3808,3670,138,,,,,,
3807,3670,137,,,,,,
3807,3670,137,,,,,,
3807,3670,137,,,,,,
3807,3670,137,,,,,,
3807,3670,137,,,,,,
3807,3670,137,,,,,,
3807,3670,137,,,,,,
3807,3670,137,,,,,,
3806,3670,136,,,,,,
3804,3670,134,,,,,,
3801,3670,131,,,,,,
3797,3670,127,,,,,,
3795,3670,125,,,,,,
3794,3670,124,,,,,,
3793,3670,123,,,,,,
3791,3670,121,,,,,,
3791,3670,121,,,,,,
3792,3670,122,,,,,,
3793,3670,123,,,,,,
3798,3670,128,,,,,,
3827,3670,157,,,,,,
3829,3670,159,,,,,,
3866,3670,196,,,,,,
3867,3670,197,,,,,,
3868,3670,198,,,,,,
3869,3670,199,,,,,,
3871,3670,201,,,,,,
3876,3670,206,,,,,,
3879,3670,209,,,,,,
3882,3670,212,,,,,,
3884,3670,214,,,,,,
3889,3670,219,,,,,,
3891,3670,221,,,,,,
3893,3670,223,,,,,,
3895,3670,225,,,,,,
3898,3670,228,,,,,,
3898,3670,228,,,,,,
3896,3670,226,,,,,,
3895,3670,225,,,,,,
3895,3670,225,,,,,,
3894,3670,224,,,,,,
3893,3670,223,,,,,,
3892,3670,222,,,,,,
3891,3670,221,,,,,,
3891,3670,221,,,,,,
3889,3670,219,,,,,,
3888,3670,218,,,,,,
3888,3670,218,,,,,,
3887,3670,217,,,,,,
3885,3670,215,,,,,,
3885,3670,215,,,,,,
3885,3670,215,,,,,,
3884,3670,214,,,,,,
3883,3670,213,,,,,,
3883,3670,213,,,,,,
3883,3670,213,,,,,,
3882,3670,212,,,,,,
3882,3670,212,,,,,,
3882,3670,212,,,,,,
3882,3670,212,,,,,,
3881,3670,211,,,,,,
3878,3670,208,,,,,,
3877,3670,207,,,,,,
3876,3670,206,,,,,,
3874,3670,204,,,,,,
3870,3670,200,,,,,,
3870,3670,200,,,,,,
3870,3670,200,,,,,,
3869,3670,199,,,,,,
3867,3670,197,,,,,,
3866,3670,196,,,,,,
3865,3670,195,,,,,,
3864,3670,194,,,,,,
3863,3670,193,,,,,,
3863,3670,193,,,,,,
3863,3670,193,,,,,,
3863,3670,193,,,,,,
3863,3670,193,,,,,,
3863,3670,193,,,,,,
3862,3670,192,,,,,,
3861,3670,191,,,,,,
3859,3670,189,,,,,,
3858,3670,188,,,,,,
3857,3670,187,,,,,,
3856,3670,186,,,,,,
3854,3670,184,,,,,,
3854,3670,184,,,,,,
3854,3670,184,,,,,,
3853,3670,183,,,,,,
3853,3670,183,,,,,,
3853,3670,183,,,,,,
3854,3670,184,,,,,,
3856,3670,186,,,,,,
3858,3670,188,,,,,,
3859,3670,189,,,,,,
3859,3670,189,,,,,,
3862,3670,192,,,,,,
3865,3670,195,,,,,,
3893,3670,223,,,,,,
3893,3670,223,,,,,,
